infraorder,superfamily,family,primate_species,prey,prey_order,prey_family
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,colombiformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,didelphimorphia,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,didelphimorphia,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,rodentia,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,rodentia,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,aves,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,reptilia,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,mammalia,didelphimorphia,callitrichidae
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,mammalia,rodentia,callitrichidae
haplorrhini,simmiformes,callitrichidae,cebuella_pygmaea,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,cebuella_pygmaea,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,cebuella_pygmaea,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,aves,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,aves,passeriformes,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,aves,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_imperator,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_imperator,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,NA,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_oedipus,amphibia,anura,callitrichidae
haplorrhini,simmiformes,callitrichidae,saguinus_oedipus,reptilia,squamata,callitrichidae
haplorrhini,simmiformes,cebidae,cebus_albifrons,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,cebus_albifrons,reptiles,squamata,cebidae
haplorrhini,simmiformes,cebidae,cebus_albifrons,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_albifrons,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,cebus_albifrons,mammalia,didelphimorphia,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,reptilia,NA,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,columbiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,cuculiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,galliformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,galliformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,NA,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,psittaciformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,psittaciformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,tinaniformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,trogoniformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,unspecified,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,carnivora,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,chiroptera,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,cebus_cay,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_cay,aves,pelicaniformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_cay,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,columbiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,columbiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,cuculiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,galliformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,gruiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,opisthocomiformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,pelicaniformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,struthioniformes,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,aves,NA,cebidae
haplorrhini,simmiformes,cebidae,cebus_olivaceous,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,aves,NA,cebidae
haplorrhini,simmiformes,cebidae,saimiri_cassaquiarensis,vertebrata,NA,cebidae
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,aves,NA,cebidae
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,mammalia,chiroptera,cebidae
haplorrhini,simmiformes,cebidae,saimiri_sciureus,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,saimiri_sciureus,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,amphibia,anura,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,reptilia,reptilia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,columbiformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,opisthocomiformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
