species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
euoticus_elegantulus,5.733931588000001,Om,5,2.5,solitary,spatial polygyny,NA,303.49333333333334,strepsirrhini,lorisiformes,lorisidae,aves,passeriformes,Cisticolidae,0,euoticus,1
galago_alleni,NA,Om,73,1.75,solitary,spatial polygyny,NA,250,strepsirrhini,lorisiformes,lorisidae,amphibia,anura,NA,0,galago,1
galago_moholi,3.8386365699284006,Om,NA,2,solitary,spatial polygyny,NA,183.48000000000002,strepsirrhini,lorisiformes,lorisidae,aves,passeriformes,"Monarchidae, Turdidae",0,galago,1
galago_senegalensis,4.834612272278015,Om,0,1,solitary,spatial polygyny,NA,210.41111111111096,strepsirrhini,lorisiformes,lorisidae,NA,NA,NA,0,galago,0
galagoides_demidoff,3.38,Om,19,2.25,solitary,spatial polygyny,NA,62.23555555555553,strepsirrhini,lorisiformes,galagoides,NA,NA,NA,0,galagoides,0
galagoides_zanzibaricus,3.6411851700000004,Om,NA,3.5,solitary,spatial polygyny,NA,147.35,strepsirrhini,lorisiformes,galagoides,NA,NA,NA,0,galagoides,0
gorilla_beringei,508.9591388,Fol,NA,13,polygyny,harem polygyny,yes,136212.595,haplorrhini,simmiformes,hominidae,NA,NA,NA,1,gorilla,0
gorilla_gorilla_gorilla,452.86693333333335,Fol,67,9.613793103448275,polygyny,harem polygyny,yes,121326.99666666666,haplorrhini,simmiformes,hominidae,NA,NA,NA,1,gorilla,0
hapalemur_aureus,NA,NA,NA,3,NA,NA,NA,NA,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,hapalemur,0
hapalemur_griseus,14.6002444,Fol,NA,3.8666666666666667,pair,monogamy,NA,1021.3333333333334,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,hapalemur,0
hapalemur_simus,NA,NA,NA,8,NA,NA,NA,NA,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,hapalemur,0
homo_sapiens,1274.88104,NA,NA,NA,NA,NA,yes,NA,haplorrhini,simmiformes,hominidae,NA,NA,NA,1,homo,1
hoolock_hoolock,114.6648499539898,Frug,67,3.4,pair,monogamy,NA,6787,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hoolock,0
hoolock_leuconedys,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,hylobatidae,aves,NA,NA,0,hoolock,1
hylobates_agilis,88.88388461538462,Frug/Fol,61,4.220000000000001,pair,monogamy,NA,5251.36,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hylobates,0
hylobates_klossii,92.04337337999999,Om,72,3.5833333333333335,pair,monogamy,NA,5861.145,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hylobates,0
hylobates_lar,97.88431587115399,Frug,60,3.8866666666666667,pair,monogamy,NA,5462.87,haplorrhini,simmiformes,hylobatidae,aves,NA,NA,0,hylobates,1
hylobates_moloch,106.708,Frug/Fol,61,3.5,pair,monogamy,NA,6034.405000000001,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hylobates,0
hylobates_muelleri,94.46427394183759,Frug/Fol,NA,3.45,pair,monogamy,NA,5837.405000000001,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hylobates,0
hylobates_pileatus,87.73385185185184,Frug/Fol,79.4,3.85,pair,monogamy,NA,5638.6849999999995,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,hylobates,0
indri_indri,37.17984308125,Fol,33,3.342857142857143,pair,monogamy,NA,10500,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,indri,0
lagothrix_flavicauda,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,atelidae,squamata,squamata,Colubridae,0,lagothrix,1
lagothrix_lagotricha,100.86442857142858,Om,65.7,23.244444444444444,polygynandry,polygynandry,NA,7647.8966666666665,haplorrhini,simmiformes,atelidae,"amphibia, mammalia","anura, rodentia","Hyelidae, NA",0,lagothrix,1
lemur_catta,22.296542276666667,Frug,54,15.928571428571429,polygynandry,polygynandry,NA,2380.4933333333333,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,lemur,0
leontopithecus_chrysomelas,12.261858501034128,Om,NA,6.7,pair,monogamy,NA,613.65,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, NA","NA, Dactyloidea, Tropiduridae",0,leontopithecus,1
leontopithecus_chrysopygus,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, squamata","NA, Dactyloidea, Tropiduridae",0,leontopithecus,1
leontopithecus_rosalia,13.18637710890232,Om,84,5.4,pair,monogamy,NA,623.51,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, passeriformes","NA, Tropiduridae, Dactyloidea, Turdidae",0,leontopithecus,1
lepilemur_mustelinus,9.90406676,Fol,6,1.3333333333333333,solitary,spatial polygyny,NA,625,strepsirrhini,lemuriformes,lepilemuridae,NA,NA,NA,0,lepilemur,0
lepilemur_ruficaudatus,7.903266666666667,Fol,NA,NA,solitary,spatial polygyny,NA,750,strepsirrhini,lemuriformes,lepilemuridae,NA,NA,NA,0,lepilemur,0
lophocebus_albigena,97.05157380937337,Frug,NA,15.596875,polygynandry,polygynandry,NA,7932.236666666667,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,lophocebus,0
lophocebus_aterrimus,108.90500721333333,Frug,NA,9.5,polygynandry,polygynandry,NA,6655.1849999999995,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,lophocebus,0
loris_lydekkerianus,6.572060654136135,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lorisiformes,lorisidae,squamata,squamata,Gekkonidae,0,loris,1
loris_tardigradus,6.020608684,Om,15,2,solitary,spatial polygyny,NA,269.8066666666667,strepsirrhini,lorisiformes,lorisidae,"squamata, aves","squamata, NA","Gekkonidae, NA",0,loris,1
macaca_arctoides,97.13544490833668,Frug,NA,13.75,polygynandry,polygynandry,NA,7877.68,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,macaca,0
macaca_assamensis,92.77995666795536,NA,NA,25.9,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, aves, mammalia, vertebrata",NA,NA,0,macaca,1
macaca_fascicularis,61.03617231066757,Frug,66.9,27.405555555555555,polygynandry,polygynandry,"Multiple accounts of semi free and free individuals using tools to prepare food, free individuals using tools to extract food and perform physical maintenance, and captive individuals transporting and capturing food and performing physical maintenance and other tasks",4644.106666666667,haplorrhini,simmiformes,cercopithecidae,"teleostei, amphibia","NA, anura",NA,1,macaca,1
macaca_fuscata,92.5308888888889,Frug/Fol,44,64.65,polygynandry,polygynandry,Multiple accounts of free individuals using tools to prepare and extract food and captive individuals capturing food,9498.880000000001,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, aves","anura, squamata, passeriformes","Hylidae, Ranidae, NA, Scincidae, Gekkonidae, Zosteropidae",1,macaca,1
