species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
saimiri_oerstedii,22.91234263288889,Om,NA,23.5,polygynandry,polygynandry,NA,670,haplorrhini,simmiformes,cebidae,"amphibia, squamata, aves, mammalia","anura, squamata, NA, chiroptera","NA, Phyllostomidae",0,saimiri,1
saimiri_sciureus,23.48208211022392,Om,28,37.90714285714286,polygynandry,polygynandry,NA,811.4900000000001,haplorrhini,simmiformes,cebidae,amphibia,anura,Hylidae,0,saimiri,1
sapajus_apella,NA,NA,NA,NA,NA,NA,"Extensive observations of tool use including: captive, free, and semi free individuals extracting food with tools, captive individuals transporting food with a tool, and captive individuals to be aggressive towards another",NA,haplorrhini,simmiformes,cebidae,"amphibia, squamata, aves, mammalia","anura, reptilia, columbiformes, opisthocomiformes, passeriformes, pelicaniformes, piciformes, psittaciformes, tinnaniformes, NA, chiroptera, didelphimorphia, primates, rodentia","NA, Hyelidae, Squamata, Columbidae, Opithocomidae, Cardinalidae, Grallariidae, Icteridae, Thamnophilidae, Thraupidae, Trogloditidae, Tyrannidae, Ardeidae, Picidae, Psittacidae, Tinanidae, Emballanuridae, Didelphidae, Aotidae, Pitheciidae, Cricetidae, Muridae, Sciuridae",1,sapajus,1
sapajus_flavius,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cebidae,squamata,squamata,"Iguanidae, Teiidae",0,sapajus,1
sapajus_libidinosus,NA,NA,NA,NA,NA,NA,Multiple accounts of free individuals using tools to prepare and extract food and to perform physical maintenance.,NA,haplorrhini,simmiformes,cebidae,squamata,squamata,"Colubridae, Tropiduridae",1,sapajus,1
sapajus_nigritus,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cebidae,aves,"pelicaniformes, piciformes","Ardeidae, Picidae",0,sapajus,1
sapajus_xanthosternos,NA,NA,NA,NA,NA,NA,Multiple accounts of free individuals using tools to extract food,NA,haplorrhini,simmiformes,cebidae,mammalia,primates,Callitrichidae,1,sapajus,1
semnopithecus_entellus,112.10514167865972,Fol,24.4,23.6,polygynandry,harem polygyny,NA,11398.763333333334,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,semnopithecus,0
simias_concolor,381,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,simias,0
symphalangus_syndactylus,128.58048259625272,Fol,47,3.881818181818182,pair,monogamy,NA,9246.333333333334,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,symphalangus,0
tarsius_bancanus,2.989389224526164,Om,NA,2,solitary,spatial polygyny,NA,104.83,haplorrhini,tarsiiformes,tarsidae,"teleostei, squamata, aves, mammalia","actinopterygii, squamata, NA, coraciiformes, passeriformes, chiroptera","NA, Elapidae, Alcedinidae, Sylviidae, Pittidae, Pteropodidae",0,tarsius,1
tarsius_syrichta,3.4796355315555556,Om,0,2,solitary,spatial polygyny,NA,107.53666666666668,haplorrhini,tarsiiformes,tarsidae,NA,NA,NA,0,tarsius,0
tarsius_tarsier,3.6,NA,NA,NA,NA,NA,NA,NA,haplorrhini,tarsiiformes,tarsidae,NA,NA,NA,0,tarsius,0
theropithecus_gelada,130.14574160987655,Frug,26,143.64,polygynandry,harem polygyny,NA,14788.036666666667,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,theropithecus,0
trachypithecus_cristatus,59.14751403772301,Fol,19,24.75,polygynandry,harem polygyny,Multiple accounts of free individuals using tools to be aggressive towards another,5453.936666666667,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,1,trachypithecus,0
trachypithecus_francoisi,93.33333333333333,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_geei,101.41529356000001,NA,NA,14.1,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_johnii,86.48189389422564,Fol,21,16.5,polygynandry,harem polygyny,NA,11098.36,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_obscurus,63.66254876920468,Fol,35,10.3,polygynandry,harem polygyny,NA,5775.96,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_phayrei,76.73630109173077,Fol,NA,8.8,polygyny,harem polygyny,NA,8040.860000000001,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_pileatus,107.37191864984632,Fol,NA,6.2,polygyny,harem polygyny,NA,10153.31,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
trachypithecus_vetulus,63.49900193294666,Fol,NA,13,polygyny,harem polygyny,NA,7705.693333333334,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,trachypithecus,0
varecia_rubra,32.20293421333334,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,varecia,0
varecia_variegata_variegata,30.34650970424432,Frug,73.9,5.933333333333334,pair,monogamy,NA,3335,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,varecia,0
