infraorder,superfamily,family,species,prey,prey_order,prey_family,parvorder
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,squamata,squamata,Gekkonidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,apodiformes,Trochilidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,apodiformes,Trochilidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,caprimuligiformes,Capromulgidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,colombiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,colombiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,colombiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Cotingidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Thamnophilidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Thraupidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Turdidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Turdidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,didelphimorphia,Didelphidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,didelphimorphia,Didelphidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,rodentia,Echimyidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_jacchus,mammalia,rodentia,Echimyidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_kuhli,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,Hylidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,squamata,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,passeriformes,Columbidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,passeriformes,Icteridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,mammalia,didelphimorphia,Didelphidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_penicillata,mammalia,rodentia,Muridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_pygmaea,amphibia,anura,Aromabatidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_pygmaea,squamata,squamata,Dactyloidea,platyrrhine
haplorrhini,simmiformes,callitrichidae,callithrix_pygmaea,squamata,squamata,Tropiduridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,squamata,squamata,Dactyloidea,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,squamata,squamata,Tropiduridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysomelas,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,squamata,squamata,Dactyloidea,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_chrysopygus,squamata,squamata,Tropiduridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,squamata,squamata,Tropiduridae,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,squamata,squamata,Dactyloidea,platyrrhine
haplorrhini,simmiformes,callitrichidae,leontopithecus_rosalia,aves,passeriformes,Turdidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_fuscicollis,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_imperator,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_imperator,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,Hylabatidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,Hylabatidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,anura,Hylabatidae,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,amphibia,NA,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_mystax,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_oedipus,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,callitrichidae,saguinus_oedipus,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_albifrons,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_albifrons,squamata,squamata,NA,platyrrhine
